x,y,psi,s,velocity,acceleration,curvature
2.70136,0.204356,0.0179626,0,14.5912,-7.69574,0
2.71127,0.204534,0.0179603,0.00991489,14.586,-7.61018,0.000458457
2.72118,0.204712,0.0179535,0.0198298,14.5808,-7.50847,0.000916915
2.7311,0.20489,0.0179421,0.0297447,14.5757,-7.3948,0.00137537
2.74101,0.205068,0.0179262,0.0396596,14.5707,-7.27331,0.00183383
2.75092,0.205245,0.0179057,0.0495744,14.5657,-7.14758,0.00229229
2.76084,0.205423,0.0178807,0.0594893,14.5609,-7.02039,0.00275075
2.77075,0.2056,0.0178512,0.0694042,14.5561,-6.89397,0.00320922
2.78066,0.205777,0.0178171,0.0793191,14.5514,-6.77038,0.00366768
2.79058,0.205953,0.0177785,0.0892339,14.5468,-6.65112,0.00412615
2.80049,0.206129,0.0177353,0.0991488,14.5423,-6.53734,0.00458462
2.8104,0.206305,0.0176875,0.109064,14.5378,-6.42981,0.0050431
2.82032,0.20648,0.0176353,0.118978,14.5334,-6.32926,0.00550157
2.83023,0.206654,0.0175785,0.128893,14.5291,-6.23634,0.00596005
2.84014,0.206828,0.0175171,0.138808,14.5248,-6.15143,0.00641854
2.85006,0.207002,0.0174512,0.148723,14.5206,-6.07465,0.00687703
2.85997,0.207174,0.0173807,0.158638,14.5165,-6.00596,0.00733552
2.86988,0.207346,0.0173057,0.168553,14.5124,-5.94528,0.00779402
2.8798,0.207517,0.0172262,0.178467,14.5083,-5.89247,0.00825252
2.88971,0.207688,0.0171421,0.188382,14.5043,-5.84722,0.00871103
2.89962,0.207857,0.0170534,0.198297,14.5003,-5.80929,0.00916954
2.90954,0.208026,0.0169602,0.208212,14.4963,-5.77843,0.00962806
2.91945,0.208194,0.0168625,0.218126,14.4924,-5.75426,0.0100866
2.92936,0.20836,0.0167602,0.228041,14.4884,-5.73633,0.0105451
2.93928,0.208526,0.0166534,0.237956,14.4845,-5.72423,0.0110037
2.94919,0.20869,0.016542,0.24787,14.4806,-5.71775,0.0114622
2.9591,0.208854,0.0164261,0.257785,14.4767,-5.71652,0.0119208
2.96901,0.209016,0.0163057,0.2677,14.4728,-5.72013,0.0123793
2.97893,0.209177,0.0161806,0.277614,14.4688,-5.72814,0.0128379
2.98884,0.209337,0.0160511,0.287529,14.4649,-5.74023,0.0132964
2.99875,0.209495,0.015917,0.297443,14.461,-5.75596,0.013755
3.00867,0.209653,0.0157783,0.307358,14.457,-5.77491,0.0142136
3.01858,0.209808,0.0156351,0.317273,14.4531,-5.79678,0.0146722
3.02849,0.209963,0.0154874,0.327187,14.4491,-5.82126,0.0151308
3.03841,0.210115,0.0153351,0.337102,14.4451,-5.84799,0.0155894
3.04832,0.210267,0.0151783,0.347016,14.4411,-5.87664,0.016048
